X,Y
77.527778,15.708333
77.546296,15.708333
77.564815,15.708333
77.583333,15.708333
77.601852,15.708333
77.62037,15.708333
77.638889,15.708333
77.657407,15.708333
77.675926,15.708333
77.694444,15.708333
77.712963,15.708333
77.731481,15.708333
77.749999,15.708333
77.509259,15.726449
77.527778,15.726449
77.546296,15.726449
77.564815,15.726449
77.583333,15.726449
77.601852,15.726449
77.62037,15.726449
77.638889,15.726449
77.657407,15.726449
77.675926,15.726449
77.694444,15.726449
77.712963,15.726449
77.731481,15.726449
77.546296,15.527174
77.564815,15.527174
77.583333,15.527174
77.601852,15.527174
77.62037,15.527174
77.638889,15.527174
77.657407,15.527174
77.675926,15.527174
77.694444,15.527174
77.712963,15.527174
77.731481,15.527174
77.749999,15.527174
77.509259,15.54529
77.527778,15.54529
77.546296,15.54529
77.564815,15.54529
77.583333,15.54529
77.601852,15.54529
77.62037,15.54529
77.638889,15.54529
77.657407,15.54529
77.675926,15.54529
77.694444,15.54529
77.712963,15.54529
77.731481,15.54529
77.749999,15.54529
77.509259,15.563406
77.527778,15.563406
77.546296,15.563406
77.564815,15.563406
77.583333,15.563406
77.601852,15.563406
77.62037,15.563406
77.638889,15.563406
77.657407,15.563406
77.675926,15.563406
77.694444,15.563406
77.712963,15.563406
77.731481,15.563406
77.749999,15.563406
77.509259,15.581522
77.527778,15.581522
77.546296,15.581522
77.564815,15.581522
77.583333,15.581522
77.601852,15.581522
77.62037,15.581522
77.638889,15.581522
77.657407,15.581522
77.675926,15.581522
77.694444,15.581522
77.712963,15.581522
77.731481,15.581522
77.749999,15.581522
77.509259,15.599638
77.527778,15.599638
77.546296,15.599638
77.564815,15.599638
77.583333,15.599638
77.601852,15.599638
77.62037,15.599638
77.638889,15.599638
77.657407,15.599638
77.675926,15.599638
77.694444,15.599638
77.712963,15.599638
77.731481,15.599638
77.749999,15.599638
77.509259,15.617754
77.527778,15.617754
77.546296,15.617754
77.564815,15.617754
77.583333,15.617754
77.601852,15.617754
77.62037,15.617754
77.638889,15.617754
77.657407,15.617754
77.675926,15.617754
77.694444,15.617754
77.712963,15.617754
77.731481,15.617754
77.749999,15.617754
77.509259,15.63587
77.527778,15.63587
77.546296,15.63587
77.564815,15.63587
77.583333,15.63587
77.601852,15.63587
77.62037,15.63587
77.638889,15.63587
77.712963,15.385135
77.731481,15.385135
77.749999,15.385135
77.509259,15.403153
77.527778,15.403153
77.546296,15.403153
77.564815,15.403153
77.583333,15.403153
77.601852,15.403153
77.62037,15.403153
77.638889,15.403153
77.657407,15.403153
77.675926,15.403153
77.694444,15.403153
77.712963,15.403153
77.731481,15.403153
77.749999,15.403153
77.509259,15.421171
77.527778,15.421171
77.546296,15.421171
77.564815,15.421171
77.583333,15.421171
77.601852,15.421171
77.62037,15.421171
77.638889,15.421171
77.657407,15.421171
77.675926,15.421171
77.694444,15.421171
77.712963,15.421171
77.731481,15.421171
77.749999,15.421171
77.509259,15.439189
77.527778,15.439189
77.546296,15.439189
77.564815,15.439189
77.583333,15.439189
77.601852,15.439189
77.62037,15.439189
77.638889,15.439189
77.657407,15.439189
77.675926,15.439189
77.694444,15.439189
77.712963,15.439189
77.731481,15.439189
77.749999,15.439189
77.509259,15.457207
77.527778,15.457207
